Year,Date,HomeTeam,HomeBonus,AwayTeam,AwayBonus,HomeScore,AwayScore,Stadium,Winner,PointDiff
2007,2007-03-10,Scotland,0,Ireland,0,18,19,Murrayfield Stadium,Ireland,1
2007,2007-03-10,Italy,0,Wales,0,23,20,Stadio Flaminio,Italy,3
2007,2007-03-11,England,0,France,0,26,18,Twickenham Stadium,England,8
2007,2007-03-17,Italy,0,Ireland,0,24,51,Stadio Flaminio,Ireland,27
2007,2007-03-17,France,0,Scotland,0,46,19,Stade de France,France,27
2007,2007-03-17,Wales,0,England,0,27,18,Millennium Stadium,Wales,9
2008,2008-02-02,Ireland,0,Italy,0,16,11,Croke Park,Ireland,5
2008,2008-02-02,England,0,Wales,0,19,26,Twickenham Stadium,Wales,7
2008,2008-02-03,Scotland,0,France,0,6,27,Murrayfield Stadium,France,21
2008,2008-02-09,Wales,0,Scotland,0,30,15,Millennium Stadium,Wales,15
2008,2008-02-09,France,0,Ireland,0,26,21,Stade de France,France,5
2008,2008-02-10,Italy,0,England,0,19,23,Stadio Flaminio,England,4
2008,2008-02-23,Wales,0,Italy,0,47,8,Millennium Stadium,Wales,39
2008,2008-02-23,Ireland,0,Scotland,0,34,13,Croke Park,Ireland,21
2008,2008-02-23,France,0,England,0,13,24,Stade de France,England,11
2008,2008-03-08,Ireland,0,Wales,0,12,16,Croke Park,Wales,4
2008,2008-03-08,Scotland,0,England,0,15,9,Murrayfield Stadium,Scotland,6
2008,2008-03-09,France,0,Italy,0,25,13,Stade de France,France,12
2008,2008-03-15,Italy,0,Scotland,0,23,20,Stadio Flaminio,Italy,3
2008,2008-03-15,England,0,Ireland,0,33,10,Twickenham Stadium,England,23
2008,2008-03-15,Wales,0,France,0,29,12,Millennium Stadium,Wales,17
2009,2009-02-07,England,0,Italy,0,36,11,Twickenham Stadium,England,25
2009,2009-02-07,Ireland,0,France,0,30,21,Croke Park,Ireland,9
2009,2009-02-08,Scotland,0,Wales,0,13,26,Murrayfield Stadium,Wales,13
2009,2009-02-14,France,0,Scotland,0,22,13,Stade de France,France,9
2009,2009-02-14,Wales,0,England,0,23,15,Millennium Stadium,Wales,8
2009,2009-02-15,Italy,0,Ireland,0,9,38,Stadio Flaminio,Ireland,29
2009,2009-02-27,France,0,Wales,0,21,16,Stade de France,France,5
2009,2009-02-28,Scotland,0,Italy,0,26,6,Murrayfield Stadium,Scotland,20
2009,2009-02-28,Ireland,0,England,0,14,13,Croke Park,Ireland,1
2009,2009-03-14,Italy,0,Wales,0,15,20,Stadio Flaminio,Wales,5
2009,2009-03-14,Scotland,0,Ireland,0,15,22,Murrayfield Stadium,Ireland,7
2009,2009-03-15,England,0,France,0,34,10,Twickenham Stadium,England,24
2009,2009-03-21,Italy,0,France,0,8,50,Stadio Flaminio,France,42
2009,2009-03-21,England,0,Scotland,0,26,12,Twickenham Stadium,England,14
2009,2009-03-21,Wales,0,Ireland,0,15,17,Millennium Stadium,Ireland,2
2010,2010-02-06,Ireland,0,Italy,0,29,11,Croke Park,Ireland,18
2010,2010-02-06,England,0,Wales,0,30,17,Twickenham Stadium,England,13
2010,2010-02-07,Scotland,0,France,0,9,18,Murrayfield Stadium,France,9
2010,2010-02-13,Wales,0,Scotland,0,31,24,Millennium Stadium,Wales,7
2010,2010-02-13,France,0,Ireland,0,33,10,Stade de France,France,23
2010,2010-02-14,Italy,0,England,0,12,17,Stadio Flaminio,England,5
2010,2010-02-26,Wales,0,France,0,20,26,Millennium Stadium,France,6
2010,2010-02-27,Italy,0,Scotland,0,16,12,Stadio Flaminio,Italy,4
2010,2010-02-27,England,0,Ireland,0,16,20,Twickenham Stadium,Ireland,4
2010,2010-03-13,Ireland,0,Wales,0,27,12,Croke Park,Ireland,15
2010,2010-03-13,Scotland,0,England,0,15,15,Murrayfield Stadium,Draw,0
2010,2010-03-14,France,0,Italy,0,46,20,Stade de France,France,26
2010,2010-03-20,Wales,0,Italy,0,33,10,Millennium Stadium,Wales,23
2010,2010-03-20,Ireland,0,Scotland,0,20,23,Croke Park,Scotland,3
2010,2010-03-20,France,0,England,0,12,10,Stade de France,France,2
2011,2011-02-04,Wales,0,England,0,19,26,Millennium Stadium,England,7
2011,2011-02-05,Italy,0,Ireland,0,11,13,Stadio Flaminio,Ireland,2
2011,2011-02-05,France,0,Scotland,0,34,21,Stade de France,France,13
2011,2011-02-12,England,0,Italy,0,59,13,Twickenham Stadium,England,46
2011,2011-02-12,Scotland,0,Wales,0,6,24,Murrayfield Stadium,Wales,18
2011,2011-02-13,Ireland,0,France,0,22,25,Aviva Stadium,France,3
2011,2011-02-26,Italy,0,Wales,0,16,24,Stadio Flaminio,Wales,8
2011,2011-02-26,England,0,France,0,17,9,Twickenham Stadium,England,8
2011,2011-02-27,Scotland,0,Ireland,0,18,21,Murrayfield Stadium,Ireland,3
2011,2011-03-12,Italy,0,France,0,22,21,Stadio Flaminio,Italy,1
2011,2011-03-12,Wales,0,Ireland,0,19,13,Millennium Stadium,Wales,6
2011,2011-03-13,England,0,Scotland,0,22,16,Twickenham Stadium,England,6
2011,2011-03-19,Scotland,0,Italy,0,21,8,Murrayfield Stadium,Scotland,13
2011,2011-03-19,Ireland,0,England,0,24,8,Aviva Stadium,Ireland,16
2011,2011-03-19,France,0,Wales,0,28,9,Stade de France,France,19
2012,2012-02-04,France,0,Italy,0,30,12,Stade de France,France,18
2012,2012-02-04,Scotland,0,England,0,6,13,Murrayfield Stadium,England,7
2012,2012-02-05,Ireland,0,Wales,0,21,23,Aviva Stadium,Wales,2
2012,2012-02-11,Italy,0,England,0,15,19,Stadio Olimpico,England,4
