Year,Date,HomeTeam,HomeBonus,AwayTeam,AwayBonus,HomeScore,AwayScore,Stadium,Winner,PointDiff
2024,2024-02-10,Scotland,1,France,0,16,20,Murrayfield Stadium,France,4
2024,2024-02-10,England,0,Wales,1,16,14,Twickenham Stadium,England,2
2024,2024-02-11,Ireland,1,Italy,0,36,0,Aviva Stadium,Ireland,36
2024,2024-02-24,Ireland,1,Wales,0,31,7,Aviva Stadium,Ireland,24
2024,2024-02-24,Scotland,0,England,0,30,21,Murrayfield Stadium,Scotland,9
2024,2024-02-25,France,0,Italy,0,13,13,Decathlon Arena,Draw,0
2024,2024-03-09,Italy,0,Scotland,2,31,29,Stadio Olimpico,Italy,2
2024,2024-03-09,England,0,Ireland,1,23,22,Twickenham Stadium,England,1
2024,2024-03-10,Wales,0,France,1,24,45,Principality Stadium,France,21
2024,2024-03-16,Wales,1,Italy,0,21,24,Principality Stadium,Italy,3
2024,2024-03-16,Ireland,0,Scotland,1,17,13,Aviva Stadium,Ireland,4
2024,2024-03-16,France,0,England,2,33,31,Groupama Stadium,France,2
2025,2025-01-31,France,1,Wales,0,43,0,Stade de France,France,43
2025,2025-02-01,Scotland,1,Italy,0,31,19,Murrayfield Stadium,Scotland,12
2025,2025-02-01,Ireland,1,England,1,27,22,Aviva Stadium,Ireland,5
2025,2025-02-08,Italy,0,Wales,1,22,15,Stadio Olimpico,Italy,7
2025,2025-02-08,England,1,France,1,26,25,Twickenham Stadium,England,1
2025,2025-02-09,Scotland,0,Ireland,1,18,32,Murrayfield Stadium,Ireland,14
2025,2025-02-22,Wales,0,Ireland,0,18,27,Millennium Stadium,Ireland,9
2025,2025-02-22,England,0,Scotland,1,16,15,Twickenham Stadium,England,1
2025,2025-02-23,Italy,0,France,1,24,73,Stadio Olimpico,France,49
2025,2025-03-08,Ireland,0,France,1,27,42,Aviva Stadium,France,15
2025,2025-03-08,Scotland,1,Wales,2,35,29,Murrayfield Stadium,Scotland,6
2025,2025-03-09,England,1,Italy,0,47,24,Twickenham Stadium,England,23
2025,2025-03-15,Italy,1,Ireland,1,17,22,Stadio Olimpico,Ireland,5
2025,2025-03-15,Wales,0,England,1,14,68,Millennium Stadium,England,54
2025,2025-03-15,France,1,Scotland,0,35,16,Stade de France,France,19
